,date
0,2017-09-01
1,2017-09-01
2,2017-09-01
3,2017-09-01
4,2017-09-01
5,2017-09-01
6,2017-09-01
7,2017-09-01
8,2017-09-01
9,2017-09-01
10,2017-09-01
11,2017-09-01
12,2017-09-01
13,2017-09-01
14,2017-09-01
15,2017-09-01
16,2017-09-01
17,2017-09-01
18,2017-09-01
19,2017-09-01
81,2017-09-01
82,2017-09-01
83,2017-09-01
84,2017-09-01
85,2017-09-01
86,2017-09-01
87,2017-09-01
88,2017-09-01
89,2017-09-01
90,2017-09-01
91,2017-09-01
92,2017-09-01
93,2017-09-01
94,2017-09-01
95,2017-09-01
96,2017-09-01
97,2017-09-01
98,2017-09-01
99,2017-09-01
100,2017-09-01
162,2017-09-01
163,2017-09-01
164,2017-09-01
165,2017-09-01
166,2017-09-01
167,2017-09-01
168,2017-09-01
169,2017-09-01
170,2017-09-01
171,2017-09-01
172,2017-09-01
173,2017-09-01
174,2017-09-01
175,2017-09-01
176,2017-09-01
177,2017-09-01
178,2017-09-01
179,2017-09-01
180,2017-09-01
181,2017-09-01
243,2017-09-01
244,2017-09-01
245,2017-09-01
246,2017-09-01
247,2017-09-01
248,2017-09-01
249,2017-09-01
250,2017-09-01
251,2017-09-01
252,2017-09-01
253,2017-09-01
254,2017-09-01
255,2017-09-01
256,2017-09-01
257,2017-09-01
258,2017-09-01
259,2017-09-01
260,2017-09-01
261,2017-09-01
262,2017-09-01
323,2017-09-01
324,2017-09-01
325,2017-09-01
326,2017-09-01
327,2017-09-01
328,2017-09-01
329,2017-09-01
330,2017-09-01
331,2017-09-01
332,2017-09-01
333,2017-09-01
334,2017-09-01
335,2017-09-01
336,2017-09-01
337,2017-09-01
338,2017-09-01
339,2017-09-01
340,2017-09-01
341,2017-09-01
342,2017-09-01
404,2017-09-01
405,2017-09-01
406,2017-09-01
407,2017-09-01
408,2017-09-01
409,2017-09-01
410,2017-09-01
411,2017-09-01
412,2017-09-01
413,2017-09-01
414,2017-09-01
415,2017-09-01
416,2017-09-01
417,2017-09-01
418,2017-09-01
419,2017-09-01
420,2017-09-01
421,2017-09-01
422,2017-09-01
423,2017-09-01
485,2017-09-01
486,2017-09-01
487,2017-09-01
488,2017-09-01
489,2017-09-01
490,2017-09-01
491,2017-09-01
492,2017-09-01
493,2017-09-01
494,2017-09-01
495,2017-09-01
496,2017-09-01
497,2017-09-01
498,2017-09-01
499,2017-09-01
500,2017-09-01
501,2017-09-01
502,2017-09-01
503,2017-09-01
504,2017-09-01
566,2017-09-01
567,2017-09-01
568,2017-09-01
569,2017-09-01
570,2017-09-01
571,2017-09-01
572,2017-09-01
573,2017-09-01
574,2017-09-01
575,2017-09-01
576,2017-09-01
577,2017-09-01
578,2017-09-01
579,2017-09-01
580,2017-09-01
581,2017-09-01
582,2017-09-01
583,2017-09-01
584,2017-09-01
585,2017-09-01
647,2017-09-01
648,2017-09-01
649,2017-09-01
650,2017-09-01
651,2017-09-01
652,2017-09-01
653,2017-09-01
654,2017-09-01
